edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
43,1000.0,300.0,2,1,2,Familiar,Consumo,10000.0,False,True,795311102,7953111,RECHAZADO,59,0.3,MODERADO,R001,1,0,,True,False,1,0
36,2400.0,720.0,2,4,1,Familiar,Consumo,10000.0,False,True,795801102,7958011,REVISION_MANUAL,72,0.3,MODERADO,R001,1,0,,True,False,1,0
31,1000.0,300.0,2,2,2,Familiar,Consumo,10000.0,False,True,796120101,7961201,REVISION_MANUAL,69,0.3,MODERADO,R001,1,0,,True,False,1,0
24,1000.0,300.0,2,1,4,Familiar,Consumo,10000.0,False,True,796518103,7965181,RECHAZADO,45,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
61,1000.0,300.0,2,1,3,Propia,Consumo,10000.0,False,True,798901101,7989011,REVISION_MANUAL,71,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
50,1500.0,450.0,2,0,5,Familiar,Consumo,10000.0,True,True,799804102,7998041,RECHAZADO,29,0.3,MODERADO,R001|R004|R010,3,0,,True,False,1,0
26,1900.0,570.0,2,4,2,Familiar,Consumo,10000.0,False,True,800006104,8000061,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
24,2000.0,600.0,2,0,1,Propia,Consumo,10000.0,True,True,802913101,8029131,RECHAZADO,56,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
62,500.0,150.0,2,1,0,Propia,Consumo,9000.0,False,True,803201101,8032011,REVISION_MANUAL,75,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
58,1500.0,450.0,2,1,0,Familiar,Consumo,10000.0,True,True,803715101,8037151,REVISION_MANUAL,61,0.3,MODERADO,R001,1,0,,True,False,1,0
61,1500.0,450.0,2,0,1,Propia,Consumo,10000.0,True,True,804101102,8041011,RECHAZADO,56,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
72,2500.0,750.0,2,0,0,Propia,Consumo,10000.0,True,True,804802101,8048021,REVISION_MANUAL,68,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
21,2000.0,600.0,2,4,1,Familiar,Consumo,10000.0,False,True,805601102,8056011,REVISION_MANUAL,69,0.3,MODERADO,R001,1,0,,True,False,1,0
18,2500.0,750.0,2,0,2,Familiar,Consumo,10000.0,True,True,807203103,8072031,RECHAZADO,38,0.3,MODERADO,R001|R004|R009|R012,4,1,,True,False,1,0
64,1500.0,450.0,2,1,0,Familiar,Consumo,10000.0,False,True,809010102,8090101,REVISION_MANUAL,61,0.3,MODERADO,R001,1,0,,True,False,1,0
